NACA 0012
0.51047121	-0.05226753
0.52093783	-0.05157187
0.53139526	-0.05085434
0.54183892	-0.05011598
0.55226423	-0.04935787
0.56266662	-0.04858104
0.57304151	-0.04778654
0.58338437	-0.04697542
0.59369066	-0.04614870
0.60395585	-0.04530740
0.61417544	-0.04445254
0.62434494	-0.04358513
0.63445991	-0.04270615
0.64451590	-0.04181658
0.65450850	-0.04091741
0.66443332	-0.04000958
0.67428602	-0.03909405
0.68406228	-0.03817176
0.69375779	-0.03724363
0.70336832	-0.03631058
0.71288965	-0.03537353
0.72231759	-0.03443336
0.73164802	-0.03349098
0.74087684	-0.03254725
0.75000000	-0.03160306
0.75901350	-0.03065927
0.76791340	-0.02971673
0.77669577	-0.02877631
0.78535678	-0.02783884
0.79389263	-0.02690517
0.80229956	-0.02597612
0.81057389	-0.02505254
0.81871199	-0.02413526
0.82671030	-0.02322508
0.83456530	-0.02232283
0.84227355	-0.02142934
0.84983167	-0.02054540
0.85723634	-0.01967183
0.86448431	-0.01880944
0.87157241	-0.01795902
0.87849753	-0.01712138
0.88525662	-0.01629730
0.89184673	-0.01548758
0.89826496	-0.01469299
0.90450850	-0.01391432
0.91057460	-0.01315233
0.91646062	-0.01240779
0.92216396	-0.01168145
0.92768213	-0.01097405
0.93301270	-0.01028633
0.93815334	-0.00961900
0.94310179	-0.00897278
0.94785588	-0.00834836
0.95241353	-0.00774642
0.95677273	-0.00716762
0.96093158	-0.00661260
0.96488824	-0.00608199
0.96864099	-0.00557638
0.97218819	-0.00509636
0.97552826	-0.00464248
0.97865975	-0.00421527
0.98158128	-0.00381523
0.98429158	-0.00344284
0.98678945	-0.00309855
0.98907380	-0.00278276
0.99114363	-0.00249587
0.99299802	-0.00223821
0.99463617	-0.00201011
0.99605735	-0.00181185
0.99726095	-0.00164367
0.99824643	-0.00150578
0.99901336	-0.00139835
0.99956142	-0.00132152
0.99989034	-0.00127539
1.00000000	-0.00126000

